volcanoName,eruptionCertainty,startDate,maxVEI,evidenceMethod,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Pelee,1,2360 BCE,3,Radiocarbon (uncorrected),14.809,-61.165,1394,France,Stratovolcano,251,5025,382633,609576
Popocatepetl,1,2370 BCE,2,Radiocarbon (uncorrected),19.023,-98.622,5393,Mexico,Stratovolcano,325,2584,634054,26509510
Colima,1,2370 BCE,4,Radiocarbon (uncorrected),19.514,-103.62,3850,Mexico,Stratovolcano,76,746,303490,1494790
Soufriere St. Vincent,1,2380 BCE,2,Radiocarbon (uncorrected),13.33,-61.18,1220,Saint Vincent and the Grenadines,Stratovolcano,1491,15327,103882,291476
Snaefellsjokull,1,2400 BCE,2,Radiocarbon (uncorrected),64.8,-23.783,1446,Iceland,Stratovolcano,9,129,2264,11820
Taranaki,1,2400 BCE,4,Radiocarbon (uncorrected),-39.3,174.07,2518,New Zealand,Stratovolcano,200,230,77381,104499
Vesuvius,1,2420 BCE,5,Radiocarbon (corrected),40.821,14.426,1281,Italy,Stratovolcano,19162,675705,3907941,6009961
Katla,1,2420 BCE,3,Tephrochronology,63.633,-19.083,1490,Iceland,Subglacial,0,0,473,11326
Pelee,1,2430 BCE,4,Radiocarbon (uncorrected),14.809,-61.165,1394,France,Stratovolcano,251,5025,382633,609576
Campi Flegrei,1,2440 BCE,3,Radiocarbon (uncorrected),40.827,14.139,458,Italy,Caldera,2234109,2234109,3006865,6019697
Hualalai,1,2440 BCE,0,Radiocarbon (uncorrected),19.692,-155.87,2523,United States,Shield,35906,35906,46959,166240
Kujusan,1,2440 BCE,4,Radiocarbon (corrected),33.086,131.249,1791,Japan,Stratovolcano,1667,11771,181541,7815706
Fujisan,1,2450 BCE,2,Radiocarbon (uncorrected),35.361,138.728,3776,Japan,Stratovolcano,570,1759,906969,25022187
Hachijojima,1,2450 BCE,4,Tephrochronology,33.137,139.766,854,Japan,Stratovolcano,11275,13560,13564,14082
Maly Semyachik,1,2450 BCE,2,Radiocarbon (corrected),54.135,159.674,1527,Russia,Caldera,98,98,497,10182
Gorely,1,2450 BCE,3,Tephrochronology,52.559,158.03,1799,Russia,Caldera,0,0,19,250293
Ararat,1,2450 BCE,3,Anthropology,39.7,44.3,5165,Turkey,Stratovolcano,25,1239,135563,2811646
Taranaki,1,2450 BCE,4,Tephrochronology,-39.3,174.07,2518,New Zealand,Stratovolcano,200,230,77381,104499
Kikai,1,2450 BCE,2,Tephrochronology,30.793,130.305,704,Japan,Caldera,152,152,152,1002905
Hekla,1,2450 BCE,3,Tephrochronology,63.983,-19.666,1490,Iceland,Stratovolcano,0,0,298,22845
Pelee,1,2460 BCE,3,Radiocarbon (corrected),14.809,-61.165,1394,France,Stratovolcano,251,5025,382633,609576
Soufriere Hills,1,2460 BCE,3,Radiocarbon (corrected),16.72,-62.18,915,United Kingdom,Stratovolcano,3006,9401,9458,448929
Katla,1,2480 BCE,3,Tephrochronology,63.633,-19.083,1490,Iceland,Subglacial,0,0,473,11326
Atacazo,1,2490 BCE,5,Radiocarbon (uncorrected),-0.353,-78.617,4463,Ecuador,Stratovolcano,449,212988,1837303,3769593
Sheveluch,1,2490 BCE,3,Radiocarbon (corrected),56.653,161.36,3283,Russia,Stratovolcano,0,0,1718,11613
"Orizaba, Pico de",1,2500 BCE,3,Radiocarbon (uncorrected),19.03,-97.27,5564,Mexico,Stratovolcano,413,4469,759747,5962920
Avachinsky,1,2500 BCE,3,Tephrochronology,53.256,158.836,2717,Russia,Stratovolcano,0,0,180016,270205
