volcanoName,eruptionCertainty,startDate,maxVEI,evidenceMethod,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Ambae,1,2021 Dec 5,2,Historical Observations,-15.389,167.835,1496,Vanuatu,Shield,73,1279,4326,73308
Pinatubo,1,2021 Nov 30,4,Historical Observations,15.13,120.35,1486,Philippines,Stratovolcano,725,3808,1148684,21875048
Iliwerung,1,2021 Nov 28,1,Historical Observations,-8.532,123.573,583,Indonesia,Complex,968,4318,79569,665081
Taal,1,2021 Nov 15,2,Historical Observations,14.002,120.993,311,Philippines,Caldera,717090,717090,2380326,24814047
Turrialba,1,2021 Nov 3,2,Historical Observations,10.025,-83.767,3340,Costa Rica,Stratovolcano,1891,6867,672428,3390544
Asosan,1,2021 Oct 14,1,Historical Observations,32.884,131.104,1592,Japan,Caldera,75559,75559,234591,6507519
Kavachi,1,2021 Oct 2,1,Historical Observations,-8.991,157.979,-20,Solomon Islands,Submarine,6,6,802,50014
Kilauea,1,2021 Sep 29,0,Historical Observations,19.421,-155.287,1222,United States,Shield,3122,3122,8495,169550
Nishinoshima,1,2021 Aug 14,0,Historical Observations,27.247,140.874,25,Japan,Caldera,0,0,0,0
Fukutoku-Oka-no-Ba,1,2021 Aug 13,0,Historical Observations,24.285,141.481,-29,Japan,Submarine,11,19,19,951
Chirinkotan,1,2021 Aug 8,1,Historical Observations,48.98,153.48,724,Russia,Stratovolcano,0,0,0,6
Pavlof,1,2021 Aug 5,2,Historical Observations,55.417,-161.894,2493,United States,Stratovolcano,0,0,0,3002
Pagan,1,2021 Jul 29,1,Historical Observations,18.13,145.8,570,United States,Stratovolcano,0,0,0,0
Sirung,1,2021 Jul 21,1,Historical Observations,-8.508,124.13,862,Indonesia,Complex,5966,19334,69744,418756
Ulawun,1,2021 Jul 9,1,Historical Observations,-5.05,151.33,2334,Papua New Guinea,Stratovolcano,30,1801,10577,61018
Copahue,1,2021 Jul 2,1,Historical Observations,-37.856,-71.183,2953,Chile-Argentina,Stratovolcano,88,555,3042,138414
Taal,1,2021 Jul 1,2,Historical Observations,14.002,120.993,311,Philippines,Caldera,717090,717090,2380326,24814047
Rincon de la Vieja,1,2021 Jun 28,1,Historical Observations,10.83,-85.324,1916,Costa Rica,Complex,271,1428,78668,659105
Turrialba,1,2021 Jun 13,2,Historical Observations,10.025,-83.767,3340,Costa Rica,Stratovolcano,1891,6867,672428,3390544
Krakatau,1,2021 May 25,2,Historical Observations,-6.102,105.423,155,Indonesia,Caldera,7177,7177,8027,6326159
Great Sitkin,1,2021 May 25,1,Historical Observations,52.076,-176.13,1740,United States,Stratovolcano,0,0,0,0
Dieng Volcanic Complex,1,2021 Apr 29,1,Historical Observations,-7.2,109.879,2565,Indonesia,Complex,1092929,1092929,1886942,24381814
Telica,1,2021 Apr 21,1,Historical Observations,12.606,-86.84,1036,Nicaragua,Stratovolcano,1079,21990,327294,2982538
Tengger Caldera,1,2021 Apr 15,2,Historical Observations,-7.942,112.95,2329,Indonesia,Stratovolcano,27826,69451,1420878,22628278
"Fournaise, Piton de la",1,2021 Apr 9,1,Historical Observations,-21.244,55.708,2632,France,Shield,55859,55859,246792,717820
Krysuvik-Trolladyngja,1,2021 Mar 19,0,Historical Observations,63.917,-22.067,360,Iceland,Crater rows,29070,29070,164484,195915
Veniaminof,1,2021 Feb 28,2,Historical Observations,56.17,-159.38,2507,United States,Stratovolcano,0,0,0,542
Semisopochnoi,1,2021 Feb 2,1,Historical Observations,51.93,179.58,1221,United States,Stratovolcano,0,0,0,0
Raung,1,2021 Jan 21,2,Historical Observations,-8.119,114.056,3260,Indonesia,Stratovolcano,152,572,581515,8123987
Merapi,1,2020 Dec 31,1,Historical Observations,-7.54,110.446,2910,Indonesia,Stratovolcano,49205,185849,4348473,24728414
Soufriere St. Vincent,1,2020 Dec 27,4,Historical Observations,13.33,-61.18,1220,Saint Vincent and the Grenadines,Stratovolcano,1491,15327,103882,291476
San Cristobal,1,2020 Dec 27,3,Historical Observations,12.702,-87.004,1745,Nicaragua,Stratovolcano,208,7876,351227,2002579
Tengger Caldera,1,2020 Dec 26,1,Historical Observations,-7.942,112.95,2329,Indonesia,Stratovolcano,27826,69451,1420878,22628278
Kilauea,1,2020 Dec 20,0,Historical Observations,19.421,-155.287,1222,United States,Shield,3122,3122,8495,169550
"Fournaise, Piton de la",1,2020 Dec 7,0,Historical Observations,-21.244,55.708,2632,France,Shield,55859,55859,246792,717820
Lewotolok,1,2020 Nov 27,2,Historical Observations,-8.274,123.508,1431,Indonesia,Stratovolcano,4390,10032,159023,695083
Kikai,1,2020 Oct 6,1,Historical Observations,30.793,130.305,704,Japan,Caldera,152,152,152,1002905
Kavachi,1,2020 Sep 2,0,Historical Observations,-8.991,157.979,-20,Solomon Islands,Submarine,6,6,802,50014
Kuchinoerabujima,1,2020 Aug 29,1,Historical Observations,30.443,130.217,657,Japan,Stratovolcano,1544,1698,5348,149518
Sinabung,1,2020 Aug 8,3,Historical Observations,3.17,98.392,2460,Indonesia,Stratovolcano,997,13801,163630,7646863
Telica,1,2020 Jul 20,1,Historical Observations,12.606,-86.84,1036,Nicaragua,Stratovolcano,1079,21990,327294,2982538
Raung,1,2020 Jul 16,1,Historical Observations,-8.119,114.056,3260,Indonesia,Stratovolcano,152,572,581515,8123987
Turrialba,1,2020 Jun 18,1,Historical Observations,10.025,-83.767,3340,Costa Rica,Stratovolcano,1891,6867,672428,3390544
Copahue,1,2020 Jun 16,2,Historical Observations,-37.856,-71.183,2953,Chile-Argentina,Stratovolcano,88,555,3042,138414
Cleveland,1,2020 Jun 1,3,Historical Observations,52.825,-169.944,1730,United States,Stratovolcano,0,0,0,9
Kikai,1,2020 Apr 29,1,Historical Observations,30.793,130.305,704,Japan,Caldera,152,152,152,1002905
Karymsky,1,2020 Apr 1,3,Historical Observations,54.049,159.443,1513,Russia,Stratovolcano,0,0,291,10848
Soputan,1,2020 Mar 23,2,Historical Observations,1.112,124.737,1785,Indonesia,Stratovolcano,4724,69991,501336,1696768
Kavachi,1,2020 Mar 16,0,Historical Observations,-8.991,157.979,-20,Solomon Islands,Submarine,6,6,802,50014
Sarychev Peak,1,2020 Feb 29,1,Historical Observations,48.092,153.2,1496,Russia,Stratovolcano,17,143,143,148
San Miguel,1,2020 Feb 22,1,Historical Observations,13.434,-88.269,2130,El Salvador,Stratovolcano,1232,63007,796482,3633885
"Fournaise, Piton de la",1,2020 Feb 10,0,Historical Observations,-21.244,55.708,2632,France,Shield,55859,55859,246792,717820
Rincon de la Vieja,1,2020 Jan 30,2,Historical Observations,10.83,-85.324,1916,Costa Rica,Complex,271,1428,78668,659105
Fernandina,1,2020 Jan 12,0,Historical Observations,-0.37,-91.55,1476,Ecuador,Shield,129,129,208,1972
Taal,1,2020 Jan 12,4,Historical Observations,14.002,120.993,311,Philippines,Caldera,717090,717090,2380326,24814047
Kuchinoerabujima,1,2020 Jan 11,3,Historical Observations,30.443,130.217,657,Japan,Stratovolcano,1544,1698,5348,149518
Whakaari/White Island,1,2019 Dec 9,2,Historical Observations,-37.52,177.18,294,New Zealand,Stratovolcano,5,5,5,190290
Semisopochnoi,1,2019 Dec 7,1,Historical Observations,51.93,179.58,1221,United States,Stratovolcano,0,0,0,0
Nishinoshima,1,2019 Dec 5,1,Historical Observations,27.247,140.874,25,Japan,Caldera,0,0,0,0
Cleveland,2,2019 Nov 7,2,Historical Observations,52.825,-169.944,1730,United States,Stratovolcano,0,0,0,9
Kikai,1,2019 Nov 2,2,Historical Observations,30.793,130.305,704,Japan,Caldera,152,152,152,1002905
Lateiki,1,2019 Oct 13,1,Historical Observations,-19.18,-174.87,43,Tonga,Submarine,18,18,18,7907
Asamayama,1,2019 Aug 7,2,Historical Observations,36.406,138.523,2568,Japan,Complex,583,22371,457576,7629353
Copahue,1,2019 Aug 2,2,Historical Observations,-37.856,-71.183,2953,Chile-Argentina,Stratovolcano,88,555,3042,138414
Tangkuban Parahu,1,2019 Jul 26,1,Historical Observations,-6.77,107.6,2084,Indonesia,Stratovolcano,100608,518822,5729309,32855731
Shishaldin,1,2019 Jul 23,3,Historical Observations,54.756,-163.97,2857,United States,Stratovolcano,0,0,10,197
Semisopochnoi,1,2019 Jul 16,1,Historical Observations,51.93,179.58,1221,United States,Stratovolcano,0,0,0,0
Ulawun,1,2019 Jun 26,4,Historical Observations,-5.05,151.33,2334,Papua New Guinea,Stratovolcano,30,1801,10577,61018
Ubinas,1,2019 Jun 24,2,Historical Observations,-16.355,-70.903,5672,Peru,Stratovolcano,180,1195,14607,1136785
Raikoke,1,2019 Jun 22,3,Historical Observations,48.292,153.25,551,Russia,Stratovolcano,0,0,134,142
"Fournaise, Piton de la",1,2019 Jun 11,0,Historical Observations,-21.244,55.708,2632,France,Shield,55859,55859,246792,717820
Great Sitkin,1,2019 Jun 1,1,Historical Observations,52.076,-176.13,1740,United States,Stratovolcano,0,0,0,0
Sarychev Peak,1,2019 May 16,2,Historical Observations,48.092,153.2,1496,Russia,Stratovolcano,17,143,143,148
Colima,1,2019 May 11,1,Historical Observations,19.514,-103.62,3850,Mexico,Stratovolcano,76,746,303490,1494790
Asosan,1,2019 Apr 16,2,Historical Observations,32.884,131.104,1592,Japan,Caldera,75559,75559,234591,6507519
Klyuchevskoy,1,2019 Apr 9,2,Historical Observations,56.056,160.642,4754,Russia,Stratovolcano,0,0,292,12406
Sangay,1,2019 Mar 26,2,Historical Observations,-2.005,-78.341,5286,Ecuador,Stratovolcano,231,1675,15130,1355275
San Cristobal,1,2019 Mar 4,1,Historical Observations,12.702,-87.004,1745,Nicaragua,Stratovolcano,208,7876,351227,2002579
"Fournaise, Piton de la",1,2019 Feb 18,0,Historical Observations,-21.244,55.708,2632,France,Shield,55859,55859,246792,717820
Tengger Caldera,1,2019 Feb 18,2,Historical Observations,-7.942,112.95,2329,Indonesia,Stratovolcano,27826,69451,1420878,22628278
Karymsky,1,2019 Feb 16,2,Historical Observations,54.049,159.443,1513,Russia,Stratovolcano,0,0,291,10848
Poas,1,2019 Feb 7,2,Historical Observations,10.2,-84.233,2697,Costa Rica,Stratovolcano,1947,11107,950796,3411023
Sinabung,1,2019 Feb 6,4,Historical Observations,3.17,98.392,2460,Indonesia,Stratovolcano,997,13801,163630,7646863
Tinakula,1,2018 Dec 8,2,Historical Observations,-10.386,165.804,796,Solomon Islands,Stratovolcano,0,19,19,20155
Karangetang,1,2018 Nov 25,2,Historical Observations,2.781,125.407,1797,Indonesia,Stratovolcano,892,4478,11066,65667
Planchon-Peteroa,1,2018 Nov 7,1,Historical Observations,-35.223,-70.568,3977,Chile,Stratovolcano,6,48,1345,634959
Kuchinoerabujima,1,2018 Oct 21,3,Historical Observations,30.443,130.217,657,Japan,Stratovolcano,1544,1698,5348,149518
Gamalama,1,2018 Oct 4,1,Historical Observations,0.8,127.33,1715,Indonesia,Stratovolcano,103429,204820,308691,536972
Soputan,1,2018 Oct 2,3,Historical Observations,1.112,124.737,1785,Indonesia,Stratovolcano,4724,69991,501336,1696768
Barren Island,1,2018 Sep 25,1,Historical Observations,12.278,93.858,354,India,Stratovolcano,645,645,645,5035
Ulawun,1,2018 Sep 21,2,Historical Observations,-5.05,151.33,2334,Papua New Guinea,Stratovolcano,30,1801,10577,61018
Ketoi,2,2018 Sep 21,1,Historical Observations,47.35,152.475,1172,Russia,Stratovolcano,1,10,11,90
Sarychev Peak,1,2018 Sep 8,2,Historical Observations,48.092,153.2,1496,Russia,Stratovolcano,17,143,143,148
Semisopochnoi,1,2018 Sep 8,1,Historical Observations,51.93,179.58,1221,United States,Stratovolcano,0,0,0,0
Veniaminof,1,2018 Sep 4,1,Historical Observations,56.17,-159.38,2507,United States,Stratovolcano,0,0,0,542
Alaid,1,2018 Aug 20,1,Historical Observations,50.861,155.565,2285,Russia,Stratovolcano,0,64,64,2887
Sangay,1,2018 Aug 8,2,Historical Observations,-2.005,-78.341,5286,Ecuador,Stratovolcano,231,1675,15130,1355275
Rincon de la Vieja,1,2018 Jul 28,1,Historical Observations,10.83,-85.324,1916,Costa Rica,Complex,271,1428,78668,659105
Nishinoshima,1,2018 Jul 12,1,Historical Observations,27.247,140.874,25,Japan,Caldera,0,0,0,0
"Negra, Sierra",1,2018 Jun 26,2,Historical Observations,-0.83,-91.17,1124,Ecuador,Shield,408,408,983,9884
Telica,1,2018 Jun 21,1,Historical Observations,12.606,-86.84,1036,Nicaragua,Stratovolcano,1079,21990,327294,2982538
Krakatau,1,2018 Jun 18,3,Historical Observations,-6.102,105.423,155,Indonesia,Caldera,7177,7177,8027,6326159
Fernandina,1,2018 Jun 16,1,Historical Observations,-0.37,-91.55,1476,Ecuador,Shield,129,129,208,1972
Great Sitkin,1,2018 Jun 10,1,Historical Observations,52.076,-176.13,1740,United States,Stratovolcano,0,0,0,0
Ulawun,1,2018 Jun 8,1,Historical Observations,-5.05,151.33,2334,Papua New Guinea,Stratovolcano,30,1801,10577,61018
Merapi,1,2018 May 11,3,Historical Observations,-7.54,110.446,2910,Indonesia,Stratovolcano,49205,185849,4348473,24728414
Karymsky,1,2018 Apr 28,3,Historical Observations,54.049,159.443,1513,Russia,Stratovolcano,0,0,291,10848
Marapi,1,2018 Apr 27,2,Historical Observations,-0.38,100.474,2885,Indonesia,Complex,706,57453,818039,4059773
San Cristobal,1,2018 Apr 22,1,Historical Observations,12.702,-87.004,1745,Nicaragua,Stratovolcano,208,7876,351227,2002579
Kerinci,1,2018 Apr 21,1,Historical Observations,-1.697,101.264,3800,Indonesia,Stratovolcano,304,33878,264107,1437454
Nyamulagira,1,2018 Apr 18,0,Historical Observations,-1.408,29.2,3058,DR Congo,Shield,3751,27027,711356,8333476
"Fournaise, Piton de la",1,2018 Apr 3,0,Historical Observations,-21.244,55.708,2632,France,Shield,55859,55859,246792,717820
Dieng Volcanic Complex,1,2018 Apr 1,1,Historical Observations,-7.2,109.879,2565,Indonesia,Complex,1092929,1092929,1886942,24381814
Kirishimayama,1,2018 Mar 1,3,Historical Observations,31.934,130.862,1700,Japan,Shield,647,8415,407050,3972044
Sangay,1,2018 Feb 25,1,Historical Observations,-2.005,-78.341,5286,Ecuador,Stratovolcano,231,1675,15130,1355275
Karangetang,1,2018 Feb 2,1,Historical Observations,2.781,125.407,1797,Indonesia,Stratovolcano,892,4478,11066,65667
Kusatsu-Shiranesan,1,2018 Jan 23,1,Historical Observations,36.618,138.528,2165,Japan,Stratovolcano,4485,14296,434049,5947593
San Miguel,1,2018 Jan 14,1,Historical Observations,13.434,-88.269,2130,El Salvador,Stratovolcano,1232,63007,796482,3633885
Mayon,1,2018 Jan 13,2,Historical Observations,13.257,123.685,2462,Philippines,Stratovolcano,4350,248448,1166441,4142375
Kadovar,1,2018 Jan 5,2,Historical Observations,-3.608,144.588,365,Papua New Guinea,Stratovolcano,0,0,1341,114708
Kanlaon,1,2017 Dec 9,2,Historical Observations,10.412,123.132,2435,Philippines,Stratovolcano,1662,40276,923257,9345000
Agung,1,2017 Nov 21,3,Historical Observations,-8.343,115.508,2997,Indonesia,Stratovolcano,5657,76781,968381,4550176
Dempo,1,2017 Nov 9,1,Historical Observations,-4.016,103.121,3142,Indonesia,Stratovolcano,124,9613,96058,2307584
Tinakula,1,2017 Oct 21,3,Historical Observations,-10.386,165.804,796,Solomon Islands,Stratovolcano,0,19,19,20155
Sarychev Peak,1,2017 Oct 12,2,Historical Observations,48.092,153.2,1496,Russia,Stratovolcano,17,143,143,148
Kirishimayama,1,2017 Oct 11,2,Historical Observations,31.934,130.862,1700,Japan,Shield,647,8415,407050,3972044
Ambae,1,2017 Sep 6,3,Historical Observations,-15.389,167.835,1496,Vanuatu,Shield,73,1279,4326,73308
Fernandina,1,2017 Sep 4,2,Historical Observations,-0.37,-91.55,1476,Ecuador,Shield,129,129,208,1972
San Cristobal,1,2017 Aug 18,3,Historical Observations,12.702,-87.004,1745,Nicaragua,Stratovolcano,208,7876,351227,2002579
Kerinci,1,2017 Aug 13,1,Historical Observations,-1.697,101.264,3800,Indonesia,Stratovolcano,304,33878,264107,1437454
Sangay,1,2017 Jul 20,2,Historical Observations,-2.005,-78.341,5286,Ecuador,Stratovolcano,231,1675,15130,1355275
Sangeang Api,1,2017 Jul 15,2,Historical Observations,-8.2,119.07,1912,Indonesia,Complex,204,1155,39301,809132
"Fournaise, Piton de la",1,2017 Jul 14,0,Historical Observations,-21.244,55.708,2632,France,Shield,55859,55859,246792,717820
Ulawun,1,2017 Jun 11,1,Historical Observations,-5.05,151.33,2334,Papua New Guinea,Stratovolcano,30,1801,10577,61018
Bulusan,1,2017 Jun 5,1,Historical Observations,12.769,124.056,1535,Philippines,Stratovolcano,2789,74286,518705,3360418
Marapi,1,2017 Jun 4,1,Historical Observations,-0.38,100.474,2885,Indonesia,Complex,706,57453,818039,4059773
Karymsky,1,2017 Jun 4,3,Historical Observations,54.049,159.443,1513,Russia,Stratovolcano,0,0,291,10848
Copahue,1,2017 Jun 4,1,Historical Observations,-37.856,-71.183,2953,Chile-Argentina,Stratovolcano,88,555,3042,138414
Rincon de la Vieja,1,2017 May 23,2,Historical Observations,10.83,-85.324,1916,Costa Rica,Complex,271,1428,78668,659105
Karangetang,2,2017 May 10,1,Historical Observations,2.781,125.407,1797,Indonesia,Stratovolcano,892,4478,11066,65667
Dieng Volcanic Complex,1,2017 Apr 30,1,Historical Observations,-7.2,109.879,2565,Indonesia,Complex,1092929,1092929,1886942,24381814
Nishinoshima,1,2017 Apr 18,2,Historical Observations,27.247,140.874,25,Japan,Caldera,0,0,0,0
Poas,1,2017 Apr 12,1,Historical Observations,10.2,-84.233,2697,Costa Rica,Stratovolcano,1947,11107,950796,3411023
"Lengai, Ol Doinyo",1,2017 Apr 9,0,Historical Observations,-2.764,35.914,2962,Tanzania,Stratovolcano,186,1855,18074,545305
Kick 'em Jenny,1,2017 Mar 29,0,Hydrophonic,12.3,-61.64,-185,Grenada,Submarine,0,4687,72786,104256
Aira,1,2017 Mar 25,1,Historical Observations,31.593,130.657,1117,Japan,Caldera,4918,113874,905254,2610033
Kambalny,1,2017 Mar 24,3,Historical Observations,51.306,156.875,2116,Russia,Stratovolcano,0,20,572,4525
Ebulobo,2,2017 Mar 12,1,Historical Observations,-8.817,121.191,2096,Indonesia,Stratovolcano,1278,24149,140204,674614
Krakatau,1,2017 Feb 19,1,Historical Observations,-6.102,105.423,155,Indonesia,Caldera,7177,7177,8027,6326159
San Cristobal,1,2017 Feb 18,1,Historical Observations,12.702,-87.004,1745,Nicaragua,Stratovolcano,208,7876,351227,2002579
"Fournaise, Piton de la",1,2017 Jan 31,0,Historical Observations,-21.244,55.708,2632,France,Shield,55859,55859,246792,717820
Unnamed 2,1,2017 Jan 23,0,Historical Observations,-20.852,-175.55,-296,Tonga,Submarine,0,0,0,88571
Barren Island,1,2017 Jan 15,2,Historical Observations,12.278,93.858,354,India,Stratovolcano,645,645,645,5035
San Miguel,1,2017 Jan 7,1,Historical Observations,13.434,-88.269,2130,El Salvador,Stratovolcano,1232,63007,796482,3633885
Bogoslof,1,2016 Dec 20,3,Historical Observations,53.93,-168.03,150,United States,Submarine,0,0,0,4216
Chirinkotan,1,2016 Nov 29,3,Historical Observations,48.98,153.48,724,Russia,Stratovolcano,0,0,0,6
Nyamulagira,1,2016 Nov 27,0,Historical Observations,-1.408,29.2,3058,DR Congo,Shield,3751,27027,711356,8333476
Zhupanovsky,1,2016 Nov 20,2,Historical Observations,53.589,159.15,2899,Russia,Compound,0,0,153,267080
Kerinci,1,2016 Nov 15,1,Historical Observations,-1.697,101.264,3800,Indonesia,Stratovolcano,304,33878,264107,1437454
Sabancaya,1,2016 Nov 6,3,Historical Observations,-15.787,-71.857,5960,Peru,Stratovolcano,51,526,12678,1052517
Ebeko,1,2016 Oct 20,2,Historical Observations,50.686,156.014,1103,Russia,Stratovolcano,0,267,1076,3098
Ulawun,1,2016 Oct 11,1,Historical Observations,-5.05,151.33,2334,Papua New Guinea,Stratovolcano,30,1801,10577,61018
Asosan,1,2016 Oct 7,3,Historical Observations,32.884,131.104,1592,Japan,Caldera,75559,75559,234591,6507519
Karymsky,1,2016 Oct 5,2,Historical Observations,54.049,159.443,1513,Russia,Stratovolcano,0,0,291,10848
"Lengai, Ol Doinyo",1,2016 Sep 21,1,Historical Observations,-2.764,35.914,2962,Tanzania,Stratovolcano,186,1855,18074,545305
Whakaari/White Island,1,2016 Sep 13,1,Historical Observations,-37.52,177.18,294,New Zealand,Stratovolcano,5,5,5,190290
Ubinas,1,2016 Sep 13,2,Historical Observations,-16.355,-70.903,5672,Peru,Stratovolcano,180,1195,14607,1136785
"Fournaise, Piton de la",1,2016 Sep 11,0,Historical Observations,-21.244,55.708,2632,France,Shield,55859,55859,246792,717820
Gamalama,1,2016 Aug 3,1,Historical Observations,0.8,127.33,1715,Indonesia,Stratovolcano,103429,204820,308691,536972
Rinjani,1,2016 Aug 1,2,Historical Observations,-8.42,116.47,3726,Indonesia,Stratovolcano,10289,55594,1374441,3555330
Chikurachki,1,2016 Jul 27,2,Historical Observations,50.324,155.461,1781,Russia,Stratovolcano,0,65,527,2492
San Miguel,1,2016 Jun 18,1,Historical Observations,13.434,-88.269,2130,El Salvador,Stratovolcano,1232,63007,796482,3633885
Bulusan,1,2016 Jun 10,2,Historical Observations,12.769,124.056,1535,Philippines,Stratovolcano,2789,74286,518705,3360418
Poas,1,2016 Jun 5,1,Historical Observations,10.2,-84.233,2697,Costa Rica,Stratovolcano,1947,11107,950796,3411023
"Fournaise, Piton de la",1,2016 May 26,0,Historical Observations,-21.244,55.708,2632,France,Shield,55859,55859,246792,717820
Whakaari/White Island,1,2016 Apr 27,1,Historical Observations,-37.52,177.18,294,New Zealand,Stratovolcano,5,5,5,190290
Bristol Island,1,2016 Apr 24,1,Historical Observations,-59.017,-26.533,1100,United Kingdom,Stratovolcano,0,0,0,0
San Cristobal,1,2016 Apr 22,2,Historical Observations,12.702,-87.004,1745,Nicaragua,Stratovolcano,208,7876,351227,2002579
Cleveland,1,2016 Apr 16,2,Historical Observations,52.825,-169.944,1730,United States,Stratovolcano,0,0,0,9
Kerinci,1,2016 Mar 31,2,Historical Observations,-1.697,101.264,3800,Indonesia,Stratovolcano,304,33878,264107,1437454
Zavodovski,1,2016 Mar 30,1,Historical Observations,-56.3,-27.57,551,United Kingdom,Stratovolcano,0,0,0,0
Chikurachki,1,2016 Mar 29,2,Historical Observations,50.324,155.461,1781,Russia,Stratovolcano,0,65,527,2492
Pavlof,1,2016 Mar 27,2,Historical Observations,55.417,-161.894,2493,United States,Stratovolcano,0,0,0,3002
Sangay,1,2016 Mar 25,2,Historical Observations,-2.005,-78.341,5286,Ecuador,Stratovolcano,231,1675,15130,1355275
Bulusan,1,2016 Feb 22,2,Historical Observations,12.769,124.056,1535,Philippines,Stratovolcano,2789,74286,518705,3360418
San Miguel,1,2016 Jan 12,1,Historical Observations,13.434,-88.269,2130,El Salvador,Stratovolcano,1232,63007,796482,3633885
"Chillan, Nevados de",1,2016 Jan 8,2,Historical Observations,-36.868,-71.378,3180,Chile,Stratovolcano,68,371,3733,512325
Soputan,1,2016 Jan 2,3,Historical Observations,1.112,124.737,1785,Indonesia,Stratovolcano,4724,69991,501336,1696768
Momotombo,1,2015 Dec 1,2,Historical Observations,12.423,-86.539,1270,Nicaragua,Stratovolcano,100,1851,98583,3569021
Kanlaon,1,2015 Nov 24,2,Historical Observations,10.412,123.132,2435,Philippines,Stratovolcano,1662,40276,923257,9345000
Marapi,1,2015 Nov 14,1,Historical Observations,-0.38,100.474,2885,Indonesia,Complex,706,57453,818039,4059773
Tengger Caldera,1,2015 Nov 12,2,Historical Observations,-7.942,112.95,2329,Indonesia,Stratovolcano,27826,69451,1420878,22628278
Lascar,1,2015 Oct 30,2,Historical Observations,-23.37,-67.73,5592,Chile,Stratovolcano,0,70,570,8119
Rinjani,1,2015 Oct 25,2,Historical Observations,-8.42,116.47,3726,Indonesia,Stratovolcano,10289,55594,1374441,3555330
Langila,1,2015 Oct 22,2,Historical Observations,-5.525,148.42,1330,Papua New Guinea,Complex,213,3653,11641,45698
Masaya,1,2015 Oct 3,1,Historical Observations,11.985,-86.165,594,Nicaragua,Caldera,989888,989888,1914707,2926954
Tofua,1,2015 Oct 2,0,Historical Observations,-19.75,-175.07,515,Tonga,Caldera,1556,1556,1556,8789
Alaid,1,2015 Sep 29,1,Historical Observations,50.861,155.565,2285,Russia,Stratovolcano,0,64,64,2887
Telica,1,2015 Sep 23,2,Historical Observations,12.606,-86.84,1036,Nicaragua,Stratovolcano,1079,21990,327294,2982538
Copahue,1,2015 Sep 18,2,Historical Observations,-37.856,-71.183,2953,Chile-Argentina,Stratovolcano,88,555,3042,138414
Lokon-Empung,1,2015 Aug 30,1,Historical Observations,1.358,124.792,1580,Indonesia,Stratovolcano,12183,75684,942160,1583346
Klyuchevskoy,1,2015 Aug 28,3,Historical Observations,56.056,160.642,4754,Russia,Stratovolcano,0,0,292,12406
Cotopaxi,1,2015 Aug 14,2,Historical Observations,-0.677,-78.436,5911,Ecuador,Stratovolcano,251,7299,152139,3631492
San Miguel,1,2015 Aug 13,1,Historical Observations,13.434,-88.269,2130,El Salvador,Stratovolcano,1232,63007,796482,3633885
Kick 'em Jenny,1,2015 Jul 23,0,Historical Observations,12.3,-61.64,-185,Grenada,Submarine,0,4687,72786,104256
Gamalama,1,2015 Jul 16,2,Historical Observations,0.8,127.33,1715,Indonesia,Stratovolcano,103429,204820,308691,536972
Sirung,1,2015 Jul 7,1,Historical Observations,-8.508,124.13,862,Indonesia,Complex,5966,19334,69744,418756
Hakoneyama,1,2015 Jun 29,1,Historical Observations,35.233,139.021,1438,Japan,Complex,14140,53755,1543563,30282197
Sabancaya,1,2015 Jun 28,1,Historical Observations,-15.787,-71.857,5960,Peru,Stratovolcano,51,526,12678,1052517
Ciremai,2,2015 Jun 24,2,Historical Observations,-6.895,108.408,3039,Indonesia,Stratovolcano,915,67377,3058015,25718820
"Lengai, Ol Doinyo",1,2015 Jun 20,0,Historical Observations,-2.764,35.914,2962,Tanzania,Stratovolcano,186,1855,18074,545305
Asamayama,1,2015 Jun 16,1,Historical Observations,36.406,138.523,2568,Japan,Complex,583,22371,457576,7629353
Rincon de la Vieja,1,2015 Jun 16,1,Historical Observations,10.83,-85.324,1916,Costa Rica,Complex,271,1428,78668,659105
Pacaya,1,2015 Jun 7,1,Historical Observations,14.382,-90.601,2569,Guatemala,Complex,4250,53579,2454482,7033094
Kuchinoerabujima,1,2015 May 29,3,Historical Observations,30.443,130.217,657,Japan,Stratovolcano,1544,1698,5348,149518
Wolf,1,2015 May 25,4,Historical Observations,0.02,-91.35,1710,Ecuador,Shield,165,165,237,1673
Lokon-Empung,1,2015 May 20,1,Historical Observations,1.358,124.792,1580,Indonesia,Stratovolcano,12183,75684,942160,1583346
Telica,1,2015 May 7,2,Historical Observations,12.606,-86.84,1036,Nicaragua,Stratovolcano,1079,21990,327294,2982538
Bulusan,1,2015 May 1,2,Historical Observations,12.769,124.056,1535,Philippines,Stratovolcano,2789,74286,518705,3360418
Axial Seamount,1,2015 Apr 23,0,Seismicity,45.95,-130.0,-1410,Undersea Features,Submarine,0,0,0,0
Calbuco,1,2015 Apr 22,4,Historical Observations,-41.33,-72.618,1974,Chile,Stratovolcano,70,871,32265,575233
Turrialba,1,2015 Mar 8,2,Historical Observations,10.025,-83.767,3340,Costa Rica,Stratovolcano,1891,6867,672428,3390544
San Cristobal,1,2015 Mar 5,2,Historical Observations,12.702,-87.004,1745,Nicaragua,Stratovolcano,208,7876,351227,2002579
Chikurachki,1,2015 Feb 16,3,Historical Observations,50.324,155.461,1781,Russia,Stratovolcano,0,65,527,2492
