volcanoName,startDate,endDate,SO2_Mass_kt,SO2_Altitude
Manda Hararo,2009 Jun 29,2009 Jun 29,34.000,5.6
Sarychev Peak,2009 Jun 15,2009 Jun 15,1200.000,17.0
Soufriere Hills,2009 Jan 03,2009 Jan 03,8.000,11.0
Bezymianny,2009 Dec 17,2009 Dec 17,1.000,15.0
Koryaksky,2009 Aug 16,2009 Aug 16,2.000,4.0
Fernandina,2009 Apr 11,2009 Apr 11,521.000,3.0
Llaima,2009 Apr 03,2009 Apr 03,10.000,4.0
Soputan,2008 Oct 06,2008 Oct 06,16.000,8.0
Alu-Dalafilla,2008 Nov 03,2008 Nov 03,150.000,16.0
"Azul, Cerro",2008 May 30,2008 May 30,157.000,3.0
Etna,2008 May 10,2008 May 13,46.500,5.0
Chaiten,2008 May 02,2008 May 08,14.000,13.0
Soputan,2008 Jun 06,2008 Jun 06,33.000,14.0
Soufriere Hills,2008 Jul 29,2008 Jul 29,3.000,12.0
Chikurachki,2008 Jul 18,2008 Jul 18,20.000,6.0
Okmok,2008 Jul 12,2008 Jul 12,150.000,15.0
Llaima,2008 Jan 01,2008 Jan 01,30.000,13.0
Soufriere Hills,2008 Dec 03,2008 Dec 03,5.000,12.0
Kasatochi,2008 Aug 07,2008 Aug 07,2000.000,15.0
"Tair, Jebel at",2007 Sep 30,2007 Sep 30,80.000,16.0
Etna,2007 Sep 04,2007 Sep 04,12.000,5.0
Soputan,2007 Oct 25,2007 Oct 25,12.000,14.0
Bezymianny,2007 Oct 15,2007 Oct 15,5.000,10.0
Etna,2007 Nov 24,2007 Nov 24,10.000,7.0
Krummel-Garbuna-Welcker,2007 Nov 11,2007 Nov 11,1.000,3.0
Bulusan,2007 May 12,2007 May 12,1.000,6.0
Etna,2007 Mar 29,2007 Apr 11,10.500,5.0
Fuego,2007 Mar 15,2007 Mar 15,2.000,6.0
Chikurachki,2007 Mar 04,2007 Mar 04,30.000,5.0
Bulusan,2007 Jul 31,2007 Jul 31,1.000,7.0
Gamkonora,2007 Jul 09,2007 Jul 09,1.000,6.0
Fuego,2007 Jul 01,2007 Jul 01,2.000,4.0
Karthala,2007 Jan 12,2007 Jan 12,0.600,7.4
Soufriere Hills,2007 Jan 08,2007 Jan 08,1.000,9.0
Fuego,2007 Dec 15,2007 Dec 15,2.000,5.0
Chikurachki,2007 Aug 19,2007 Aug 19,20.000,5.0
Soputan,2007 Aug 14,2007 Aug 14,5.000,3.0
Manda Hararo,2007 Aug 12,2007 Aug 12,26.000,5.6
Klyuchevskoy,2007 Apr 30,2007 Jul 15,176.000,6.0
Etna,2007 Apr 29,2007 May 07,6.000,6.0
Lopevi,2007 Apr 20,2007 Apr 20,12.000,5.0
Bulusan,2007 Apr 08,2007 Apr 08,0.500,4.0
"Fournaise, Piton de la",2007 Apr 03,2007 Apr 03,300.000,11.0
Fourpeaked,2006 Sep 17,2006 Sep 17,1.000,6.0
Rabaul,2006 Oct 07,2006 Oct 07,300.000,18.0
Nyamulagira,2006 Nov 27,2006 Nov 27,675.000,15.0
Etna,2006 Nov 16,2006 Nov 21,9.300,4.0
Karthala,2006 May 28,2006 May 28,10.000,7.4
Cleveland,2006 May 23,2006 May 23,0.130,8.0
Soufriere Hills,2006 May 20,2006 May 20,200.000,20.0
Bezymianny,2006 May 09,2006 May 09,5.000,15.0
Bulusan,2006 Mar 21,2006 Mar 21,1.000,7.0
Merapi,2006 Jun 15,2006 Jun 15,10.000,5.0
Tungurahua,2006 Jul 15,2006 Jul 15,10.000,12.0
Augustine,2006 Jan 29,2006 Jan 29,10.000,10.0
Manam,2006 Feb 27,2006 Feb 27,50.000,19.0
Tinakula,2006 Feb 12,2006 Feb 12,2.000,3.0
Soputan,2006 Dec 14,2006 Dec 14,10.000,12.0
"Fournaise, Piton de la",2006 Aug 31,2006 Aug 31,1.000,7.6
Tungurahua,2006 Aug 16,2006 Aug 16,30.000,16.0
Home Reef,2006 Aug 08,2006 Aug 08,25.000,10.0
Lascar,2006 Apr 18,2006 Apr 18,2.000,8.0
Barren Island,2006 Apr 05,2006 Apr 05,0.200,5.0
"Negra, Sierra",2005 Oct 23,2005 Oct 23,1928.000,15.0
Santa Ana,2005 Oct 01,2005 Oct 01,12.000,14.0
Karthala,2005 Nov 24,2005 Nov 24,20.000,12.0
Fernandina,2005 May 13,2005 May 13,150.000,9.0
Lascar,2005 May 04,2005 May 04,3.000,10.0
Chikurachki,2005 Mar 12,2005 Mar 12,5.000,5.0
Soufriere Hills,2005 Jun 28,2005 Jul 18,8.000,7.0
Manam,2005 Jan 28,2005 Jan 28,140.000,24.0
"Fournaise, Piton de la",2005 Feb 26,2005 Feb 26,10.000,7.6
"Fournaise, Piton de la",2005 Dec 27,2005 Dec 27,15.000,7.6
Soputan,2005 Dec 27,2005 Dec 27,5.000,6.0
Fuego,2005 Dec 27,2005 Dec 27,1.000,8.0
Soputan,2005 Apr 20,2005 Apr 20,1.500,3.0
Karthala,2005 Apr 17,2005 Apr 17,10.000,7.4
Talang,2005 Apr 12,2005 Apr 12,1.000,8.0
Anatahan,2005 Apr 05,2005 Sep 03,2324.200,3.0
Lopevi,2004 Sep 28,2004 Sep 28,22.000,11.4
Asamayama,2004 Sep 01,2004 Sep 15,101.000,5.0
Manam,2004 Oct 24,2004 Nov 27,152.000,6.0
Soputan,2004 Oct 18,2004 Oct 18,10.000,11.8
"Fournaise, Piton de la",2004 Oct 02,2004 Oct 02,0.500,7.6
Grimsvotn,2004 Nov 02,2004 Nov 02,30.000,12.0
Sheveluch,2004 May 10,2004 May 10,1.000,11.0
Nyamulagira,2004 May 08,2004 May 08,2587.000,4.0
Soufriere Hills,2004 Mar 03,2004 Mar 03,5.000,7.0
Bezymianny,2004 Jun 19,2004 Jun 19,1.000,10.0
